Safety Factor,Target Inventory,Excess Inventory,Inventory Reduction %,Inventory Value Released
1.25x,12929080.05,7749734.012499999,38.6255549685931,427282423.36189663
1.5x,15514896.059999999,6419930.055,31.997660930549966,353963538.2697948
2.0x,20686528.080000006,4752625.2,23.68762406704869,262036504.6737556
